param_k,param_lambda,param_rho_div,question_id,question_text,document_id,question,ground_truth,predicted_answer,num_docs,exact_match,contains_answer,f1_score,cosine_similarity,euclidean_distance,dot_product_similarity,manhattan_distance,bertscore_precision,bertscore_recall,bertscore_f1
20,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033",Did Theodore Roosevelt study Judo?,No,No.,6,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
20,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033",Did Theodore Roosevelt study Judo?,No,No.,6,True,True,1.0,0.946946711008297,0.3257400466375136,0.946946711008297,7.065922659148497,0.7965084314346313,0.8769128918647766,0.8347789645195007
20,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
20,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
20,0.7,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
20,0.7,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
40,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
40,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
40,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
40,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
40,0.7,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
