question_idx,question,ground_truth,predicted_answer,doc_ids,num_docs,exact_match,contains_answer,f1_score,cosine_similarity,euclidean_distance,dot_product_similarity,manhattan_distance,bertscore_precision,bertscore_recall,bertscore_f1
646,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,No.,"[953, 1182, 1192, 1204, 2595]",5,False,False,0.0,0.5324249053084447,0.9670316382534304,0.5324249053084447,21.478205081054476,0.5821797251701355,0.6389995813369751,0.6092678308486938
646,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,It is not even known.,"[952, 953, 967, 975, 979]",5,True,True,1.0,1.0000000000000016,0.0,1.0000000000000016,0.0,1.0000001192092896,1.0000001192092896,1.0000001192092896
646,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,No.,"[950, 2467, 2471, 2596, 2642]",5,False,False,0.0,0.5324249053084447,0.9670316382534304,0.5324249053084447,21.478205081054476,0.5821797251701355,0.6389995813369751,0.6092678308486938
646,"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.,Yes.,"[951, 952, 953, 979, 981]",5,False,False,0.0,0.5399301137190268,0.9592391633799932,0.5399301137190268,21.276486432934938,0.59141606092453,0.619106650352478,0.60494464635849
873,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.",None.,"[25, 656, 657, 658, 2141]",5,False,False,0.0,0.44252599747443466,1.0559109834882545,0.44252599747443466,23.180183782827722,0.7462631464004517,0.6175034046173096,0.675804853439331
873,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.",None (answer not found in provided documents),"[171, 826, 1368, 2365, 2374]",5,False,False,0.0,0.2981951111852872,1.1847403840628665,0.2981951111852872,26.32451346770769,0.6819722056388855,0.6524696350097656,0.666894793510437
873,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.",None.,"[789, 826, 1368, 2374, 2718]",5,False,False,0.0,0.44252599747443466,1.0559109834882545,0.44252599747443466,23.180183782827722,0.7462631464004517,0.6175034046173096,0.675804853439331
873,What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing.",Catholicism,"[25, 760, 2120, 2682, 2840]",5,False,False,0.0,0.5254215835329895,0.9742468028862212,0.5254215835329895,21.80198693231165,0.7941778302192688,0.6660128831863403,0.7244706749916077
515,Is Liechtenstein the smallest German-speaking country in the world?,Yes,No.,"[30, 2188, 2846, 2847, 2874]",5,False,False,0.0,0.9336112273676634,0.3643865327707324,0.9336112273676634,8.214642273165634,0.7451081871986389,0.7866244912147522,0.7653037309646606
515,Is Liechtenstein the smallest German-speaking country in the world?,Yes,Yes.,"[2817, 2843, 2844, 2846, 2874]",5,True,True,1.0,0.9653603221884058,0.2632097179497572,0.9653603221884058,5.7642432107176065,0.8152557611465454,0.8894016742706299,0.8507161736488342
