question_idx,exact_match,f1_score,cosine_similarity,bertscore_f1
646,False,0.0,0.5324249053084447,0.6092678308486938
646,True,1.0,1.0000000000000016,1.0000001192092896
646,False,0.0,0.5324249053084447,0.6092678308486938
646,False,0.0,0.5399301137190268,0.60494464635849
873,False,0.0,0.44252599747443466,0.675804853439331
873,False,0.0,0.2981951111852872,0.666894793510437
873,False,0.0,0.44252599747443466,0.675804853439331
873,False,0.0,0.5254215835329895,0.7244706749916077
515,False,0.0,0.9336112273676634,0.7653037309646606
515,True,1.0,0.9653603221884058,0.8507161736488342
515,True,1.0,0.9653603221884058,0.8507161736488342
515,True,1.0,0.9653603221884058,0.8507161736488342
390,False,0.0,0.3872564460359587,0.5662417411804199
390,True,1.0,1.0000000000000009,1.000000238418579
390,True,1.0,1.0000000000000009,1.000000238418579
390,True,1.0,1.0000000000000009,1.000000238418579
376,False,0.0,0.5325919628502516,0.6570214033126831
376,False,0.0,0.36411586245673605,0.5942985415458679
376,False,0.0,0.5092774292462403,0.6680483222007751
376,False,0.0,0.27339262391029634,0.6786634922027588
521,False,0.14285714285714288,0.6298934000269013,0.6745397448539734
521,False,0.0,0.2439090709070731,0.5222612023353577
521,False,0.0,0.2439090709070731,0.5222612023353577
521,False,0.0,0.24883878829719866,0.5108256936073303
771,False,0.0,0.9284450666850477,0.8812935948371887
771,False,0.0,0.9336112273676634,0.7653037309646606
771,False,0.0,0.9336112273676634,0.7653037309646606
771,False,0.0,0.9336112273676634,0.7653037309646606
649,False,0.4444444444444445,0.7009639855495022,0.8174712657928467
649,False,0.7142857142857143,0.6327653288648962,0.8567606210708618
649,False,0.0,0.48069525878445424,0.7242908477783203
649,False,0.3333333333333333,0.5919769067816474,0.7884970903396606
5,False,0.0,0.3820768566590514,0.5971526503562927
5,False,0.0,0.3820768566590514,0.5971526503562927
5,False,0.0,0.3820768566590514,0.5971526503562927
5,False,0.0,0.3820768566590514,0.5971526503562927
66,False,0.0,0.9284450666850477,0.8812935948371887
66,False,0.0,0.9336112273676634,0.7653037309646606
66,False,0.0,0.9284450666850477,0.8812935948371887
66,False,0.0,0.9336112273676634,0.7653037309646606
775,False,0.0,0.9336112273676634,0.7653037309646606
775,True,1.0,0.9653603221884058,0.8507161736488342
775,False,0.0,0.9284450666850477,0.8812935948371887
775,False,0.0,0.9336112273676634,0.7653037309646606
592,False,0.2608695652173913,0.5734054063691156,0.7316375374794006
592,False,0.2857142857142857,0.4439841979143675,0.666702389717102
592,False,0.0,0.3848410696525499,0.6385709047317505
592,False,0.2857142857142857,0.4439841979143675,0.666702389717102
553,False,0.08695652173913043,0.6539800222360254,0.7450017333030701
553,False,0.0,0.6465905669658492,0.7349106073379517
553,False,0.0,0.6241791088588964,0.7503772377967834
553,False,0.0,0.6559878007636568,0.7553179860115051
446,False,0.0,0.9336112273676634,0.7653037309646606
446,True,1.0,0.9653603221884058,0.8507161736488342
446,True,1.0,0.9653603221884058,0.8507161736488342
446,False,0.0,0.9284450666850477,0.8812935948371887
264,False,0.0,0.9284450666850477,0.8812935948371887
264,False,0.0,0.9336112273676634,0.7653037309646606
264,False,0.0,0.9284450666850477,0.8812935948371887
264,False,0.0,0.9336112273676634,0.7653037309646606
91,False,0.0,0.3620325337025883,0.6187975406646729
91,True,1.0,0.9192501252652664,0.9266646504402161
91,True,1.0,0.9192501252652664,0.9266646504402161
91,False,0.0,0.3620325337025883,0.6187975406646729
13,False,0.0,0.46665535314999673,0.5747307538986206
13,False,0.0,0.5578154749567067,0.7233472466468811
13,False,0.5,0.7051007527621893,0.7803981304168701
13,False,0.5,0.7051007527621893,0.7803981304168701
743,False,0.0,0.11092945031366475,0.6023841500282288
743,False,0.0,0.16899522443678128,0.6042446494102478
743,False,0.5,0.8517704465310094,0.9097933173179626
743,False,0.0,0.12713335022046057,0.5947118997573853
565,False,0.0,0.33067750894894166,0.618501603603363
565,False,0.4000000000000001,0.7350012066913169,0.7888295650482178
565,False,0.5,0.6736683293258932,0.8001352548599243
565,False,0.5,0.6736683293258932,0.8001352548599243
851,False,0.0,0.3920573984568816,0.6104083061218262
851,False,0.0,0.3920573984568816,0.6104083061218262
851,False,0.0,0.24367542646148543,0.5521640181541443
851,False,0.0,0.3920573984568816,0.6104083061218262
895,False,0.0,0.3857539889049741,0.5459547638893127
895,False,0.6666666666666666,0.88650607773559,0.9066227674484253
895,False,0.0,0.706385370128751,0.7334919571876526
895,False,0.0,0.424183525393026,0.6228350400924683
603,False,0.11111111111111112,0.3555363210869182,0.7081639170646667
603,False,0.0,0.4399329601366586,0.6868058443069458
603,False,0.2,0.6529982574647581,0.8290413022041321
603,False,0.0,0.4399329601366586,0.6868058443069458
842,False,0.5,0.6440523102931242,0.6698558330535889
842,False,0.5,0.6440523102931242,0.6698558330535889
842,False,0.5,0.6440523102931242,0.6698558330535889
842,False,0.5,0.6440523102931242,0.6698558330535889
822,True,1.0,0.8593567724062701,0.9482254981994629
822,True,1.0,0.8593567724062701,0.9482254981994629
822,False,0.0,0.2723519044354623,0.701866865158081
822,True,1.0,0.8593567724062701,0.9482254981994629
403,False,0.0,0.9284450666850477,0.8812935948371887
403,False,0.0,0.9284450666850477,0.8812935948371887
403,False,0.0,0.9284450666850477,0.8812935948371887
403,False,0.0,0.9284450666850477,0.8812935948371887
660,False,0.0,0.9336112273676634,0.7653037309646606
660,True,1.0,0.9653603221884058,0.8507161736488342
660,True,1.0,0.9653603221884058,0.8507161736488342
660,False,0.0,0.2529696800885314,0.5862711668014526
574,False,0.0,0.9284450666850477,0.8812935948371887
574,False,0.0,0.9284450666850477,0.8812935948371887
574,False,0.0,0.9284450666850477,0.8812935948371887
574,False,0.0,0.9284450666850477,0.8812935948371887
505,False,0.0,0.29349522622464286,0.6860908269882202
505,False,0.0,0.3591870246319433,0.6846939325332642
505,False,0.0,0.3384591870031882,0.6899366974830627
505,False,0.14285714285714288,0.22746382443218366,0.6802209615707397
541,False,0.0,0.9336112273676634,0.7653037309646606
541,True,1.0,0.9653603221884058,0.8507161736488342
541,False,0.0,0.9284450666850477,0.8812935948371887
541,True,1.0,0.9653603221884058,0.8507161736488342
667,False,0.0,0.21240476452235504,0.5716062784194946
667,False,0.0,0.21240476452235504,0.5716062784194946
667,False,0.0,0.21269606110153355,0.5759488940238953
667,False,0.0,0.21240476452235504,0.5716062784194946
503,True,1.0,0.946946711008297,0.8347789645195007
503,True,1.0,0.946946711008297,0.8347789645195007
503,True,1.0,0.946946711008297,0.8347789645195007
503,True,1.0,0.946946711008297,0.8347789645195007
210,False,0.0,0.9336112273676634,0.7653037309646606
210,True,1.0,0.9653603221884058,0.8507161736488342
210,True,1.0,0.9653603221884058,0.8507161736488342
210,False,0.0,0.9336112273676634,0.7653037309646606
672,False,0.0,0.6232305762653971,0.6611461043357849
672,False,0.0,0.6441924866525817,0.6637697815895081
672,False,0.0,0.5442766647894438,0.6944206953048706
672,False,0.0,0.2840171971144013,0.6639565229415894
315,False,0.2105263157894737,0.48989984203607384,0.6977358460426331
315,False,0.18181818181818182,0.6023016172454376,0.7603785991668701
315,False,0.18181818181818182,0.5371900124091564,0.7388460636138916
315,False,0.0,0.2395345500257061,0.6498529314994812
643,False,0.0,0.9336112273676634,0.7653037309646606
643,False,0.0,0.9336112273676634,0.7653037309646606
643,True,1.0,0.9653603221884058,0.8507161736488342
643,True,1.0,0.9653603221884058,0.8507161736488342
859,True,1.0,1.0000000000000016,0.9999995827674866
859,True,1.0,1.0000000000000016,0.9999995827674866
859,True,1.0,1.0000000000000016,0.9999995827674866
859,True,1.0,1.0000000000000016,0.9999995827674866
556,False,0.14814814814814814,0.4842394300742094,0.6924223303794861
556,False,0.0,0.41539675460937775,0.5716851949691772
556,False,0.0,0.41539675460937775,0.5716851949691772
556,False,0.0,0.41539675460937775,0.5716851949691772
904,True,1.0,1.000000000000002,1.0
904,True,1.0,1.000000000000002,1.0
904,True,1.0,1.000000000000002,1.0
904,True,1.0,0.946946711008297,0.8347789645195007
45,False,0.0,0.9336112273676634,0.7653037309646606
45,False,0.0,0.9284450666850477,0.8812935948371887
45,True,1.0,1.0000000000000013,1.0000001192092896
45,False,0.0,0.9284450666850477,0.8812935948371887
830,False,0.0,0.9284450666850477,0.8812935948371887
830,False,0.0,0.9284450666850477,0.8812935948371887
830,False,0.0,0.9284450666850477,0.8812935948371887
830,False,0.0,0.9336112273676634,0.7653037309646606
662,False,0.0,0.43914448692838964,0.5851259231567383
662,False,0.0,0.4712747333444435,0.6808618903160095
